# time e1bpip e2bpip e3bpip e4bpip edisp ebuck eele etot
30800 294.95376793318166619 2567.6080095039351363 67.702712454361034133 0 0 0 -3708.3828059961688268 -2409.35423924576844
30850 314.48781403577936544 2670.7514775190143155 57.347398087304398473 0 0 0 -3784.0157154025741875 -2407.2566338883138997
30900 337.16405808177864856 2840.387112848848119 68.308939296849970901 0 0 0 -3921.9460534843219648 -2408.0172371358203236
30950 303.46833502047115871 2754.086278660044627 68.339077480994802727 0 0 0 -3856.3221235803221134 -2439.6971431368056074
31000 311.72879267661039648 2821.3780419325566982 74.957147518268882891 0 0 0 -3916.6294616620753004 -2449.5707466210533312
31050 318.96044423533419376 2732.9787370705766989 91.045750446461127581 0 0 0 -3870.915498489467609 -2441.9876096384496122
31100 329.38854275512380809 2807.8072067122348017 92.992354491503604663 0 0 0 -3887.7946108160654148 -2401.2814228458332764
31150 312.09164919885824929 2707.8613115888633729 80.644357214469607698 0 0 0 -3822.7370411879546737 -2426.4617434236170084
31200 308.90819398015969455 2725.6100919574487307 77.994837307938695403 0 0 0 -3817.2370559117598532 -2403.9190189271103009
31250 324.3973032947781121 2669.8122610962141152 75.67065528024566845 0 0 0 -3785.2073341628038179 -2394.6382577938011309
31300 322.19537966508636373 2711.8167926054466079 70.232326517290289303 0 0 0 -3820.4436692116946688 -2397.0787260074957885
31350 338.06574612244457967 2844.0864768569754233 75.108012091868232574 0 0 0 -3949.460099502040066 -2410.2886998113235677
31400 304.49327724208183099 2748.6108149553601834 65.552908168268402278 0 0 0 -3869.3484518079326335 -2430.5980345726929954
31450 291.38951838905671821 2657.0370082163799452 60.653998996222256324 0 0 0 -3796.3990828264054471 -2437.1145164248737274
31500 327.11892757811074262 2695.1763507956657122 61.134954075487819125 0 0 0 -3845.9416851977193801 -2432.3044781663611502
31550 315.60297603042704395 2768.1411778345282073 63.907781324795386979 0 0 0 -3880.1760971654457535 -2431.812547333792736
