#$(time) $(c_WaterMSD[1]) $(c_WaterMSD[2]) $(c_WaterMSD[3]) $(c_WaterMSD[4])
11450 13.036583777675531337 15.417496766882068826 14.645304323417775549 43.099384867975373936
11500 14.243300148144674822 16.562625767420836809 14.902549888507882869 45.708475804073380289
11550 14.596865326170151533 16.208727351762746594 15.070550050207401682 45.876142728140287375
11600 14.625011867079427574 15.50302608377695357 15.015126719851357606 45.143164670707733421
11650 14.595718532977747017 15.597875595092384415 14.985221439979355296 45.178815568049486728
11700 14.899544944809564484 16.141707071017616926 14.48229514592879319 45.523547161755978152
11750 14.67024779524516731 17.245702525773754843 14.221113736889179791 46.137064057908105497
11800 14.756873292433112965 16.828905230689773731 14.557932745506997563 46.143711268629886035
11850 15.249738941590919694 15.869376729133080062 14.520721905110173466 45.639837575834171446
11900 15.103837364187853609 15.983401145518394415 15.43873414406675515 46.525972653773010279
11950 15.083234703988518177 15.420694881116149944 14.668603794473776603 45.172533379578432289
12000 14.506939730874414352 15.537799758525659755 13.594486242455813496 43.639225731855894708
12050 14.034602151076882137 17.094877480334741193 13.851256668946396289 44.980736300358010737
12100 13.409568297714649532 16.793360277014318882 13.570561806949891448 43.773490381678868744
12150 13.627565330876924676 16.371822812611991793 14.398802301052441521 44.39819044454136332
12200 12.821596395150359982 16.478902211092467667 13.549469779429434979 42.849968385672276838
12250 13.071747891810751696 17.564201914720495523 13.777897379091063712 44.413847185622309155
12300 12.898204621789403745 17.973804608735022725 13.352660804419690166 44.224670034944118413
12350 14.373955260578659576 18.28389412584109408 13.838531293889415608 46.496380680309165712
12400 14.282616131744722665 18.535374043221050755 14.903596340402019749 47.721586515367789616
12450 14.516754003547838181 18.198807703843755235 16.172598596074134747 48.88816030346572461
12500 14.305835201500265441 18.091967432870866617 15.65754956982902435 48.055352204200154631
12550 14.356384240273518671 18.036808672307657275 16.535517355901998116 48.928710268483179391
12600 13.902918656844455825 18.354218341199572961 16.739062672329556136 48.996199670373584922
12650 14.262798143455436062 17.265291738586832082 16.520368410934839432 48.048458292977102246
